Loan_ID,Borrower_Name,Loan_Amount,Interest_Rate,Loan_Term,Credit_Score,Employment_Status,Annual_Income,Property_Value,Loan_Purpose,Monthly_Payment,Loan_Status,Down_Payment,Property_Type,Loan_to_Value,Origination_Date,Approval_Date
26,Heidi Hall,434733,4.87,30,788,Unemployed,103470,426965,Purchase,1144.44,Rejected,20029,Condo,74.08,20-06-2022,10-09-2023
27,Tanya Ramsey,464701,4.18,20,787,Unemployed,89289,257691,Home Improvement,530.39,Approved,18133,Townhouse,94.68,09-11-2022,03-08-2023
28,Donald Newman,325387,4.96,20,697,Self-Employed,39880,432621,Home Improvement,1343.03,Approved,32860,Single-Family,83.35,04-03-2023,04-01-2023
29,Nicholas Thomas,296965,4.34,15,734,Unemployed,68066,580029,Home Improvement,2228.55,Rejected,36310,Condo,89.64,22-10-2022,24-12-2022
30,Robert Nolan,340334,3.9,15,623,Employed,78862,190398,Refinance,1020.62,Pending,34116,Single-Family,72.81,31-03-2022,10-05-2023
31,Jacob Duncan,186331,4.22,20,662,Self-Employed,119865,488345,Home Improvement,666.73,Rejected,23942,Townhouse,81.19,06-03-2022,04-06-2023
32,Michael Dominguez,170798,3.43,30,602,Employed,97486,377995,Home Improvement,525.06,Approved,44602,Single-Family,88.43,09-03-2022,01-08-2023
33,Tracy Burnett,311728,3.86,20,637,Unemployed,70775,616216,Home Improvement,912.74,Pending,16812,Condo,86.16,05-04-2023,21-02-2023
34,Joseph Hunt,294370,4.35,15,720,Self-Employed,97217,320050,Purchase,1680.76,Pending,38574,Townhouse,72.71,19-01-2023,30-01-2023
35,Craig Gonzalez,497806,3.9,30,731,Unemployed,80257,443543,Refinance,1394.05,Approved,29368,Single-Family,82.41,31-05-2023,21-08-2023
36,Maria Evans,249491,4.65,30,694,Unemployed,89680,742414,Purchase,2182.04,Pending,35111,Townhouse,79.24,15-12-2022,14-05-2023
37,Jessica Snyder,201989,4.77,20,690,Self-Employed,81678,105948,Refinance,1292.06,Rejected,31337,Single-Family,72.47,04-11-2022,19-07-2023
38,Jeffrey Hill,316107,4.46,15,654,Unemployed,66756,283422,Purchase,1583.45,Pending,45759,Single-Family,90.62,03-03-2022,02-07-2023
39,Jacob Howard,446878,4.53,15,788,Employed,97232,257855,Purchase,1256.68,Approved,22932,Single-Family,74.66,26-10-2022,14-06-2023
40,Paula Sparks MD,464327,4.11,30,709,Unemployed,73577,374306,Purchase,2304.75,Rejected,35332,Single-Family,88.7,31-10-2022,27-11-2022
41,Jacqueline Tyler,152306,3.82,15,784,Self-Employed,73125,296937,Refinance,1397.71,Pending,17186,Townhouse,82.83,23-06-2022,20-07-2023
42,Courtney Smith,326253,4.23,15,791,Unemployed,80629,697342,Purchase,2587.01,Approved,38705,Townhouse,79.33,11-01-2023,17-11-2022
43,David Smith,460488,4.41,30,640,Employed,34864,624787,Home Improvement,2582.64,Rejected,46716,Single-Family,73.45,05-11-2021,05-08-2023
44,Drew Warner,288254,4.43,30,633,Unemployed,108735,574781,Home Improvement,2767.64,Approved,21031,Condo,83.31,13-03-2023,06-04-2023
45,Bobby Bailey,183279,3.27,20,694,Unemployed,49380,431646,Home Improvement,911.97,Rejected,45761,Townhouse,78.47,09-09-2023,20-02-2023
46,Lisa Larson,369018,3.14,30,716,Unemployed,114035,248094,Refinance,1145.2,Approved,46354,Condo,93.68,27-07-2023,09-06-2023
47,Mr. Brandon Stewart,236303,4.87,20,705,Unemployed,90616,533230,Refinance,2287.88,Rejected,20038,Single-Family,73.64,05-04-2022,24-05-2023
48,Melissa Morrison,199460,4.33,15,629,Unemployed,98315,495736,Purchase,2018.84,Pending,41680,Condo,89.03,07-09-2022,25-09-2023
49,Garrett Brown,489703,4.21,15,638,Employed,61022,590233,Purchase,2043.96,Pending,32532,Single-Family,78.27,19-03-2023,02-07-2023
50,David Allen,334367,3.08,20,730,Employed,59188,377048,Refinance,1129.72,Pending,21677,Townhouse,73.59,08-08-2023,14-02-2023
51,Randy Hendricks,394011,4.34,15,638,Employed,37926,647266,Refinance,1509.56,Rejected,38263,Townhouse,93.18,26-03-2023,01-08-2023
52,Isabella Wall,107612,4.46,20,616,Employed,83900,733052,Refinance,985.44,Approved,24262,Townhouse,92.33,06-06-2023,23-07-2023
53,Jim Riley,222701,3.83,20,784,Unemployed,83767,343524,Home Improvement,1997.99,Pending,18605,Townhouse,74.7,10-08-2022,02-02-2023
54,Jennifer Hodges,338715,4.26,30,646,Unemployed,68368,751207,Refinance,1846.55,Pending,40268,Townhouse,83.54,24-09-2022,18-07-2023
55,Nicholas Simmons,220331,4.1,30,704,Unemployed,116964,670219,Purchase,1401.75,Approved,26896,Single-Family,88.57,26-08-2022,20-08-2023
56,Jessica Smith,491541,4.11,20,784,Self-Employed,74639,257543,Refinance,2999.23,Approved,49218,Condo,79.02,05-08-2022,27-03-2023
57,Jason Lee,281287,3.52,15,781,Unemployed,106412,395954,Home Improvement,2467.51,Pending,18179,Condo,73.8,31-07-2022,13-09-2023
58,Bradley Massey,269991,4.5,20,792,Self-Employed,54387,250520,Purchase,2387.49,Approved,17258,Condo,88.6,02-06-2023,10-12-2022
59,Renee Cruz,173039,4.47,15,759,Unemployed,78230,396773,Purchase,2281.16,Approved,14996,Single-Family,91.6,26-07-2023,28-07-2023
60,Anthony Turner,359754,4.18,20,659,Self-Employed,93985,578254,Home Improvement,589.4,Pending,42036,Single-Family,77.89,21-10-2023,26-09-2023
61,Mark Wilson PhD,315343,4.66,15,728,Employed,73981,524526,Home Improvement,535.43,Pending,13738,Townhouse,81.14,05-02-2023,06-12-2022
62,Kara Aguilar,345353,4.68,15,631,Self-Employed,106803,196430,Purchase,779.49,Rejected,26825,Single-Family,77.77,10-12-2022,06-07-2023
63,Colin Martinez,467183,4.51,30,741,Unemployed,52785,135633,Refinance,1827.63,Pending,37836,Condo,90.52,18-10-2023,30-06-2023
64,Susan Boyle,222471,4.99,30,764,Employed,93220,649862,Home Improvement,2236.3,Rejected,30737,Townhouse,87.34,21-02-2022,22-04-2023
65,Breanna Martin,304258,4.58,15,677,Self-Employed,43743,712317,Purchase,1921.14,Rejected,40255,Townhouse,71.53,04-07-2023,14-04-2023
66,Joseph Dickerson,489360,4.27,20,794,Employed,98267,574385,Home Improvement,1462.92,Approved,30703,Single-Family,87.84,21-08-2022,23-06-2023
67,Shane Martinez,112747,3.95,20,754,Employed,37989,217686,Refinance,749.19,Rejected,10980,Single-Family,71.5,26-08-2022,28-09-2023
68,James Leach,138152,4.48,20,759,Self-Employed,113692,101877,Purchase,1088.57,Pending,39297,Condo,94.75,03-06-2022,26-03-2023
69,Christy Walker,384067,4.9,20,615,Self-Employed,37462,710273,Home Improvement,2324.58,Approved,41486,Townhouse,76.88,25-07-2023,08-02-2023
70,Alexa Walton,363139,4.98,20,776,Employed,92096,670387,Home Improvement,1829.9,Pending,25492,Single-Family,80.14,24-04-2023,29-04-2023
71,Valerie Hansen,250691,3.77,30,672,Employed,35774,372094,Purchase,679.17,Rejected,10587,Townhouse,79.57,30-09-2022,18-05-2023
72,Danielle Moran,328350,3.48,30,646,Employed,89543,573742,Purchase,2175.91,Pending,41474,Single-Family,84.52,01-03-2023,18-02-2023
73,Elizabeth Pope,189755,4.38,15,762,Self-Employed,55580,325287,Purchase,916.42,Rejected,42673,Condo,80.1,06-04-2022,03-12-2022
74,Stephen Ellis,344386,3.44,30,763,Self-Employed,84492,106145,Purchase,2164.94,Pending,20611,Single-Family,86.65,06-07-2022,04-04-2023
75,Julia Stone,270620,4.84,30,604,Self-Employed,45586,520588,Refinance,1379.68,Rejected,32552,Townhouse,79.26,22-07-2023,26-09-2023
76,Dr. Danielle Lucas MD,453032,3.21,15,609,Unemployed,95958,775792,Home Improvement,525.57,Approved,46565,Single-Family,74.38,08-08-2022,13-01-2023
77,Melinda Wright,193149,4.57,15,710,Unemployed,93332,441332,Home Improvement,1429.31,Pending,21711,Townhouse,83.65,21-03-2023,02-07-2023
78,Kathleen Daniels,297304,4.09,20,724,Unemployed,86571,213939,Home Improvement,865.16,Rejected,19613,Townhouse,92.18,06-11-2022,27-01-2023
79,Carl Wood,363982,4.14,15,706,Employed,43635,605899,Refinance,2836.21,Pending,30796,Single-Family,76.78,01-08-2022,13-10-2023
80,Donald Neal,461452,4.12,20,799,Unemployed,71188,593140,Home Improvement,2205.61,Approved,46966,Condo,88.91,02-02-2022,21-12-2022
81,Maria Alvarez,105380,4.28,20,745,Unemployed,106858,153201,Home Improvement,1121.16,Pending,39165,Townhouse,87.16,08-09-2022,17-01-2023
82,Allen Bowman,153415,4.07,20,668,Employed,58233,416143,Purchase,2148.12,Pending,45332,Single-Family,89.84,16-11-2022,28-02-2023
83,Christopher Thomas,381053,3.33,15,678,Unemployed,103508,257679,Home Improvement,2357.84,Rejected,43202,Condo,85.83,28-09-2023,09-11-2022
84,Jessica Mendoza,316189,3.98,15,697,Employed,106061,634621,Purchase,1536.57,Approved,44662,Townhouse,74.73,25-02-2022,23-03-2023
85,Jermaine Coleman,260957,3.29,30,668,Unemployed,97818,131510,Home Improvement,2681.18,Approved,23973,Single-Family,90.25,10-09-2023,23-08-2023
86,Sarah Herman,388283,3.65,15,632,Employed,94043,460235,Home Improvement,2695.26,Approved,10496,Condo,85.96,07-05-2023,07-04-2023
87,Joan Thomas,190021,4.78,15,786,Unemployed,104699,683932,Purchase,1149.34,Rejected,20516,Townhouse,76.62,19-12-2022,16-06-2023
88,Roberta Myers,279413,4.53,15,766,Self-Employed,77975,168711,Refinance,865.1,Rejected,18249,Townhouse,75.06,25-11-2022,29-10-2023
89,Briana Mcfarland,171324,3.81,30,762,Employed,31069,270064,Refinance,893.57,Approved,49148,Single-Family,89.89,25-01-2022,22-10-2023
90,Austin Mullen,416000,3.5,20,683,Employed,41168,451783,Refinance,2127,Rejected,18368,Single-Family,72.17,13-08-2022,11-02-2023
91,Shelly Meyer,162136,4.74,15,682,Employed,54887,142439,Home Improvement,1918.62,Approved,34842,Single-Family,71.93,08-08-2022,27-11-2022
92,Diane Ortiz,198955,4.99,20,612,Self-Employed,49088,450301,Purchase,2419.72,Pending,28226,Condo,77.51,29-11-2021,29-03-2023
93,Marcia Martinez,490925,3.5,15,653,Self-Employed,83482,494470,Refinance,775.9,Pending,18814,Townhouse,86.96,05-03-2022,21-10-2023
94,Martin Cantu,344649,4.12,20,768,Self-Employed,101972,477353,Home Improvement,2096.15,Pending,42307,Condo,86.49,10-03-2022,27-08-2023
95,Vincent Miller,106909,3.51,20,672,Unemployed,107798,560741,Purchase,1769.33,Rejected,21608,Single-Family,83.29,07-01-2023,15-02-2023
96,Vickie Spencer,270630,4.86,20,800,Self-Employed,118838,584247,Refinance,1272.41,Pending,23360,Single-Family,73.95,25-07-2022,09-04-2023
97,Jordan Garner,464806,4.83,20,773,Employed,77291,742178,Home Improvement,1204.39,Approved,22616,Townhouse,93.93,02-07-2023,19-07-2023
98,Hannah Hunter,401976,3.22,15,628,Employed,108396,609861,Home Improvement,1288.61,Approved,34815,Condo,76.44,07-04-2023,21-10-2023
99,Luke House,417547,3.19,30,736,Self-Employed,30440,605552,Purchase,1271.17,Pending,35411,Condo,75.02,01-03-2022,07-06-2023
100,Jonathan Williams MD,117070,3.51,20,768,Unemployed,54515,287406,Purchase,1443.17,Approved,32715,Single-Family,87.94,10-05-2022,07-10-2023
101,Thomas Moore,213572,3.13,15,615,Unemployed,40741,651915,Purchase,544.42,Rejected,29054,Single-Family,80.51,23-03-2023,07-09-2023
102,Carolyn Wilson,219546,3.06,15,715,Employed,93251,201483,Purchase,2186.15,Pending,35024,Single-Family,93.88,30-08-2022,06-04-2023
103,Joseph Boyd,180447,4.55,30,796,Employed,36251,630276,Purchase,1277.76,Rejected,41044,Townhouse,77.03,27-09-2022,04-03-2023
104,Maurice Mitchell,119666,4.28,30,731,Unemployed,102595,377035,Refinance,2391.94,Rejected,14535,Condo,94.67,05-03-2023,05-09-2023
105,Cody Powers,473310,4.25,15,629,Employed,34382,490535,Refinance,1503.37,Approved,12006,Condo,85.69,25-10-2022,04-12-2022
106,Dennis Morales,316986,3.78,30,612,Self-Employed,59312,480156,Home Improvement,655.79,Pending,21814,Condo,78.59,10-07-2023,25-04-2023
107,Chad Chambers,345501,4.49,20,785,Employed,80386,407047,Purchase,1730.05,Pending,41315,Townhouse,78.08,17-08-2023,02-02-2023
108,Sheri Finley,326954,4.91,30,608,Self-Employed,45383,365541,Home Improvement,1146.11,Approved,23614,Condo,78.99,28-09-2023,24-12-2022
109,Rachel Hicks,115606,3.93,20,600,Employed,105542,106546,Purchase,552.77,Pending,41979,Single-Family,85.85,03-08-2022,08-07-2023
110,Julia Chan MD,393010,3.65,15,717,Employed,65270,111596,Purchase,592.7,Approved,21878,Single-Family,92.01,08-01-2022,01-12-2022
111,Valerie Ramirez,139562,4.46,15,747,Self-Employed,69253,480516,Purchase,1758.5,Pending,46967,Single-Family,88.4,12-05-2023,25-12-2022
112,Jesse Ruiz,417538,4.39,30,791,Employed,39921,695762,Home Improvement,1703.7,Approved,42931,Townhouse,90.23,11-05-2022,18-09-2023
113,James Dixon,324235,3.56,15,660,Self-Employed,46462,539388,Refinance,2680.41,Approved,46673,Condo,86.55,03-08-2023,23-06-2023
114,Kathleen Rose,372505,4.59,15,656,Unemployed,49031,280113,Purchase,2838.61,Rejected,39455,Townhouse,70.03,19-11-2022,16-07-2023
115,Theresa Day,496791,3.53,30,617,Employed,118656,500634,Home Improvement,508.65,Pending,31800,Condo,75.19,23-02-2022,11-09-2023
116,David Conley,303873,3.87,30,775,Unemployed,92210,240028,Refinance,1814.79,Approved,45708,Single-Family,82.01,24-11-2021,19-05-2023
117,Paul Orozco,455118,3.79,15,663,Unemployed,35975,753566,Refinance,1353.2,Rejected,17613,Condo,73.29,04-02-2022,12-08-2023
118,Jennifer Vega,260838,4.42,30,712,Employed,62606,474653,Home Improvement,1673.11,Approved,29337,Condo,78.94,03-07-2023,26-07-2023
119,Tyler Alexander,115537,4.46,30,620,Employed,109435,760671,Home Improvement,2307.58,Approved,31623,Single-Family,90.85,21-09-2023,26-12-2022
120,Dylan Brown,347790,4.46,30,608,Unemployed,78954,248645,Refinance,1903.96,Pending,31286,Townhouse,86.13,02-01-2023,10-03-2023
121,Anthony Zhang,220302,4.29,20,628,Unemployed,111087,778416,Refinance,2544.54,Approved,47502,Condo,82.53,26-01-2022,07-05-2023
122,Makayla Smith,155511,3.43,30,769,Self-Employed,32149,396206,Home Improvement,1075.39,Pending,21384,Single-Family,84.66,18-07-2022,06-12-2022
123,Bianca Chavez,243244,3.42,30,612,Self-Employed,46913,130330,Home Improvement,1785.96,Pending,46884,Single-Family,78.73,21-11-2021,07-07-2023
124,Abigail Porter,381994,3.08,30,602,Employed,31150,342714,Refinance,937.67,Approved,22428,Condo,71.16,29-07-2023,21-04-2023
125,Andrew Brooks,180171,4.61,30,628,Unemployed,88298,125781,Refinance,2218.87,Rejected,33478,Townhouse,91.68,21-07-2023,31-12-2022
126,Julia Munoz,330750,4.68,15,657,Self-Employed,53731,277660,Purchase,1279.63,Pending,13336,Condo,89.61,30-10-2021,14-04-2023
127,Thomas Barrett,323164,3.79,15,646,Employed,68152,772774,Refinance,1247.52,Pending,18122,Condo,76.14,07-03-2023,09-04-2023
128,Andre Bailey,444120,3.58,20,783,Employed,61108,399492,Home Improvement,1804.35,Pending,22055,Townhouse,76.11,06-06-2023,11-11-2022
129,Daniel Berry DVM,468501,3.07,30,786,Unemployed,40383,203179,Refinance,1780.05,Rejected,40154,Single-Family,70.46,27-06-2022,19-06-2023
130,Tanner Gibson,437082,3.41,15,644,Unemployed,38381,504133,Refinance,2319.01,Pending,28681,Single-Family,77.6,21-10-2022,14-07-2023
131,Phyllis Webster,323064,3.21,30,623,Self-Employed,105169,613449,Refinance,692.47,Rejected,35545,Single-Family,78.38,20-10-2022,23-05-2023
132,Rachael Howard,172652,4.62,20,753,Employed,70980,374231,Home Improvement,1153.01,Rejected,44755,Condo,74.98,30-06-2022,22-01-2023
133,Emily Saunders,161556,3.44,20,661,Self-Employed,31153,715880,Home Improvement,2864.55,Pending,42232,Condo,92.24,24-05-2023,01-09-2023
134,John Curtis,370409,3.95,15,602,Employed,96426,416139,Refinance,2645.92,Rejected,37654,Townhouse,74.36,08-04-2022,05-05-2023
135,Julian Henry,133678,3.36,15,626,Employed,112160,135408,Refinance,826.37,Pending,44950,Condo,83.24,15-12-2022,26-08-2023
136,Peter Roberts,279550,3.31,30,719,Unemployed,66809,299675,Purchase,2807.92,Pending,13124,Townhouse,91.1,28-07-2022,24-10-2023
137,Alice Williamson,150533,4.28,30,774,Employed,74820,681674,Purchase,2203.69,Approved,13679,Townhouse,82.15,07-09-2022,01-06-2023
138,Michael Russell MD,452958,3.29,20,733,Self-Employed,93132,798518,Refinance,2584.52,Rejected,26445,Single-Family,84.41,08-05-2022,07-07-2023
139,Johnathan Thompson,405181,3.68,20,683,Self-Employed,101825,355717,Home Improvement,1506.27,Pending,12464,Townhouse,83.3,28-11-2021,01-07-2023
140,Lori Werner,248135,3.07,20,740,Self-Employed,73160,698355,Home Improvement,1833.48,Pending,44779,Townhouse,70.85,07-08-2023,13-06-2023
141,Steven Clark,304086,3.69,15,755,Unemployed,44375,287223,Home Improvement,1405.31,Pending,21359,Townhouse,73.8,10-01-2023,10-09-2023
142,Tracy Edwards,295276,4.03,15,659,Employed,78469,461851,Refinance,746.46,Pending,30062,Condo,86.03,17-05-2022,14-01-2023
143,Bridget Hernandez,165120,3.68,15,755,Employed,113930,428372,Purchase,1803.48,Rejected,34625,Single-Family,87.2,10-10-2023,27-02-2023
144,Richard Russell,268222,4.81,20,739,Employed,46117,291086,Home Improvement,1186.22,Pending,42445,Single-Family,74.91,06-05-2022,06-04-2023
145,Traci Faulkner,197558,3.85,20,729,Self-Employed,80312,584832,Refinance,1376.69,Rejected,43101,Condo,70.38,31-03-2023,14-01-2023
146,Kelsey Phillips,137099,4.61,20,665,Unemployed,31757,404346,Purchase,1603.46,Rejected,47950,Townhouse,71.9,01-05-2022,18-01-2023
147,Lauren Moore,120426,4.79,20,635,Self-Employed,100140,786862,Home Improvement,1993.21,Rejected,14703,Condo,94.43,02-05-2022,01-11-2022
148,Erin Nguyen,462478,4.79,30,725,Unemployed,64614,666009,Home Improvement,725.65,Pending,20334,Condo,70.75,20-04-2022,19-11-2022
149,Karen Oconnor,390761,3.99,30,749,Employed,54753,491037,Refinance,2071.46,Pending,13635,Condo,77.23,25-01-2023,13-06-2023
150,Tonya Taylor,157907,4.07,20,718,Unemployed,67579,480013,Refinance,2323.91,Rejected,33596,Townhouse,74.49,11-09-2022,04-09-2023
151,Isaac Gonzalez,195363,4.61,30,646,Unemployed,89324,596888,Refinance,2421.57,Rejected,36906,Single-Family,94.67,10-03-2023,13-10-2023
152,Chad Pacheco,298441,4.51,20,779,Unemployed,77182,109047,Refinance,1964.67,Pending,41205,Single-Family,83.49,11-03-2023,11-11-2022
153,Kevin Bishop,387274,3.3,15,685,Unemployed,84066,102936,Purchase,902.57,Pending,45950,Townhouse,70.57,13-01-2023,26-12-2022
154,Carlos Allen,379392,3.65,30,613,Unemployed,78862,384696,Purchase,1133.09,Pending,49313,Condo,78.14,19-07-2023,05-02-2023
155,Daniel Benson,160792,4.42,20,657,Unemployed,35475,460968,Refinance,1955.83,Pending,34471,Condo,91.79,24-12-2021,06-01-2023
156,Jonathan Griffin,194781,4.89,15,731,Self-Employed,55737,784869,Refinance,1249.7,Pending,24217,Single-Family,83.51,29-07-2022,29-08-2023
157,Colleen Kane,402786,4.45,15,705,Employed,49088,295393,Home Improvement,776.47,Pending,26219,Condo,93.68,20-12-2022,25-02-2023
158,Carmen Nielsen,369278,4.92,30,612,Self-Employed,112596,347166,Refinance,819.68,Pending,21401,Townhouse,76.96,30-08-2022,21-04-2023
159,Catherine Bradley,406216,4.33,15,666,Unemployed,119585,132374,Purchase,1634.86,Approved,18932,Single-Family,81.85,21-01-2022,14-12-2022
160,Stacy Myers,254725,4.44,20,633,Employed,105335,447916,Purchase,2809.51,Approved,22864,Townhouse,75.35,11-05-2023,26-02-2023
161,Joseph Riley,478115,4.93,15,692,Self-Employed,63206,142058,Refinance,567.54,Approved,45469,Townhouse,93.88,13-04-2022,02-01-2023
162,John Porter,322538,3.11,20,678,Self-Employed,54772,342452,Home Improvement,2035.11,Rejected,42305,Single-Family,83.65,02-03-2022,08-02-2023
163,Amanda Castillo,433760,3.49,15,693,Unemployed,58732,107604,Purchase,2808.82,Pending,15955,Condo,94.84,08-03-2023,24-05-2023
164,Amanda Charles,225365,3.52,15,749,Self-Employed,115006,342646,Refinance,1012.77,Rejected,41679,Townhouse,72.38,07-07-2023,11-01-2023
165,Ronald Martin,228158,3.73,20,713,Employed,81520,102872,Home Improvement,2713.49,Pending,38999,Condo,89.06,03-12-2022,16-09-2023
166,Anne Garcia,247442,3.2,30,729,Self-Employed,85493,729496,Refinance,1286.96,Pending,39231,Townhouse,92.67,28-01-2022,22-02-2023
167,Charles Higgins,461271,3.41,20,750,Unemployed,34986,135697,Refinance,1208.44,Approved,47842,Townhouse,78.81,18-10-2022,07-07-2023
168,Bailey Sloan,156897,3.48,30,603,Unemployed,64888,131620,Refinance,2038.07,Rejected,35986,Townhouse,94.11,16-05-2023,06-03-2023
169,David Obrien,189380,4.24,20,741,Self-Employed,64425,310490,Home Improvement,2411.01,Rejected,12792,Townhouse,93.01,28-09-2023,14-01-2023
170,Timothy Huff,368767,3.01,15,777,Unemployed,57930,691678,Home Improvement,1618.12,Pending,36209,Townhouse,83.89,05-05-2022,05-10-2023
171,Vickie Thompson,473370,3.69,30,673,Employed,32665,491383,Refinance,2880.73,Approved,39942,Single-Family,88.51,04-12-2022,27-01-2023
172,Kristopher Nelson,368174,3.33,30,768,Unemployed,109527,649906,Refinance,1804.97,Rejected,34953,Townhouse,88.16,07-05-2023,12-07-2023
173,Antonio Jones,118626,3.34,30,661,Unemployed,58045,641083,Home Improvement,781.24,Rejected,49381,Condo,76.53,26-02-2023,20-02-2023
174,Brittany Mitchell,495206,4.81,20,742,Self-Employed,60354,697782,Purchase,2724.06,Pending,13890,Condo,93.04,27-02-2023,23-11-2022
175,Oscar Gonzales,141510,4.36,15,789,Self-Employed,35538,769591,Refinance,981.01,Pending,27730,Condo,83.18,08-11-2021,24-06-2023
176,Sean Williams,300584,3.45,15,755,Employed,106334,273677,Home Improvement,550.1,Rejected,31719,Single-Family,86.97,31-05-2023,16-08-2023
177,Darlene Jackson,346620,3.47,15,775,Employed,88488,652295,Purchase,1299.32,Approved,32895,Townhouse,92.93,30-04-2023,28-01-2023
178,Stephanie Watson,330293,4.68,20,734,Employed,68899,737109,Purchase,859.12,Pending,13375,Townhouse,79.76,01-12-2022,06-03-2023
179,Jason Ayala,475631,4.3,30,767,Employed,84503,418038,Purchase,1125.34,Approved,18667,Condo,89.15,02-07-2022,06-05-2023
180,Rachel Robinson,367423,3.6,30,693,Unemployed,32036,443720,Purchase,2322.63,Approved,20915,Single-Family,89.37,02-05-2023,18-04-2023
181,Holly Harris,492466,4.82,15,728,Self-Employed,76321,429641,Refinance,748.97,Pending,32303,Single-Family,93.06,26-09-2023,17-08-2023
182,Mark Smith,146926,3.64,15,782,Self-Employed,55365,631406,Refinance,2826.37,Rejected,41713,Single-Family,72.85,12-12-2022,14-03-2023
183,Matthew Quinn,120984,4.64,15,713,Self-Employed,49062,241265,Refinance,1925.78,Approved,29628,Townhouse,80.08,05-08-2023,14-03-2023
184,Holly Hopkins,103234,4.05,15,686,Unemployed,98753,509480,Home Improvement,2235.12,Pending,47760,Townhouse,91.05,23-11-2022,08-01-2023
185,Joseph Cline,426234,3.36,15,707,Unemployed,33500,356595,Refinance,1862.75,Approved,26816,Condo,78.16,24-07-2022,10-02-2023
